"gene","samplename","normalized_counts","group"
"ENSG00000101441","TCGA-UY-A8OC-01A-11R-A36F-07",4.12600124816488,"Tumor"
"ENSG00000123500","TCGA-UY-A8OC-01A-11R-A36F-07",11.2384523683611,"Tumor"
"ENSG00000126890","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000145321","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-UY-A8OC-01A-11R-A36F-07",7.92674186608479,"Tumor"
"ENSG00000163586","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-UY-A8OC-01A-11R-A36F-07",5.98489176637556,"Tumor"
"ENSG00000170373","TCGA-UY-A8OC-01A-11R-A36F-07",6.75917863790087,"Tumor"
"ENSG00000171560","TCGA-UY-A8OC-01A-11R-A36F-07",4.12600124816488,"Tumor"
"ENSG00000171564","TCGA-UY-A8OC-01A-11R-A36F-07",4.903815103013,"Tumor"
"ENSG00000181433","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000184330","TCGA-UY-A8OC-01A-11R-A36F-07",4.12600124816488,"Tumor"
"ENSG00000185479","TCGA-UY-A8OC-01A-11R-A36F-07",13.2799109523216,"Tumor"
"ENSG00000186847","TCGA-UY-A8OC-01A-11R-A36F-07",12.6156806097443,"Tumor"
"ENSG00000187172","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000203857","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-UY-A8OC-01A-11R-A36F-07",4.12600124816488,"Tumor"
"ENSG00000228437","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000229035","TCGA-UY-A8OC-01A-11R-A36F-07",5.31629568679541,"Tumor"
"ENSG00000233532","TCGA-UY-A8OC-01A-11R-A36F-07",5.83144084651833,"Tumor"
"ENSG00000237412","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000250920","TCGA-UY-A8OC-01A-11R-A36F-07",4.12600124816488,"Tumor"
"ENSG00000260887","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000266976","TCGA-UY-A8OC-01A-11R-A36F-07",4.903815103013,"Tumor"
"ENSG00000269586","TCGA-UY-A8OC-01A-11R-A36F-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-K4-A83P-01A-11R-A352-07",5.47968164511848,"Tumor"
"ENSG00000123500","TCGA-K4-A83P-01A-11R-A352-07",9.22765025370657,"Tumor"
"ENSG00000126890","TCGA-K4-A83P-01A-11R-A352-07",6.46527832072107,"Tumor"
"ENSG00000145321","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-K4-A83P-01A-11R-A352-07",5.32209531250396,"Tumor"
"ENSG00000163586","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-K4-A83P-01A-11R-A352-07",4.20155669318123,"Tumor"
"ENSG00000170373","TCGA-K4-A83P-01A-11R-A352-07",10.05974263227,"Tumor"
"ENSG00000171560","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000171564","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000181433","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000184330","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000185479","TCGA-K4-A83P-01A-11R-A352-07",4.20155669318123,"Tumor"
"ENSG00000186847","TCGA-K4-A83P-01A-11R-A352-07",5.9440027247086,"Tumor"
"ENSG00000187172","TCGA-K4-A83P-01A-11R-A352-07",7.25588627507763,"Tumor"
"ENSG00000203857","TCGA-K4-A83P-01A-11R-A352-07",4.41242774305685,"Tumor"
"ENSG00000204019","TCGA-K4-A83P-01A-11R-A352-07",4.20155669318123,"Tumor"
"ENSG00000228437","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000229035","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000233532","TCGA-K4-A83P-01A-11R-A352-07",4.49639990183929,"Tumor"
"ENSG00000237412","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000250920","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-K4-A83P-01A-11R-A352-07",5.13991832537216,"Tumor"
"ENSG00000266976","TCGA-K4-A83P-01A-11R-A352-07",3.68320245492119,"Tumor"
"ENSG00000269586","TCGA-K4-A83P-01A-11R-A352-07",4.05071446731213,"Tumor"
"ENSG00000101441","TCGA-XF-AAMJ-01A-11R-A42T-07",5.56156584047759,"Tumor"
"ENSG00000123500","TCGA-XF-AAMJ-01A-11R-A42T-07",13.5025814435346,"Tumor"
"ENSG00000126890","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000145321","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-XF-AAMJ-01A-11R-A42T-07",4.51752417500172,"Tumor"
"ENSG00000163586","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000170373","TCGA-XF-AAMJ-01A-11R-A42T-07",10.6500914662958,"Tumor"
"ENSG00000171560","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000171564","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000181433","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000184330","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000185479","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000186847","TCGA-XF-AAMJ-01A-11R-A42T-07",8.6518106309073,"Tumor"
"ENSG00000187172","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000203857","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000228437","TCGA-XF-AAMJ-01A-11R-A42T-07",4.16933572157782,"Tumor"
"ENSG00000229035","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000233532","TCGA-XF-AAMJ-01A-11R-A42T-07",4.935770540913,"Tumor"
"ENSG00000237412","TCGA-XF-AAMJ-01A-11R-A42T-07",4.16933572157782,"Tumor"
"ENSG00000250920","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-XF-AAMJ-01A-11R-A42T-07",5.56156584047759,"Tumor"
"ENSG00000266976","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000269586","TCGA-XF-AAMJ-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-G2-AA3B-01A-11R-A39I-07",4.58471899199317,"Tumor"
"ENSG00000123500","TCGA-G2-AA3B-01A-11R-A39I-07",5.05842330960392,"Tumor"
"ENSG00000126890","TCGA-G2-AA3B-01A-11R-A39I-07",10.574782755881,"Tumor"
"ENSG00000145321","TCGA-G2-AA3B-01A-11R-A39I-07",9.61093322482079,"Tumor"
"ENSG00000159217","TCGA-G2-AA3B-01A-11R-A39I-07",4.17064010745288,"Tumor"
"ENSG00000163586","TCGA-G2-AA3B-01A-11R-A39I-07",5.63697609716859,"Tumor"
"ENSG00000167754","TCGA-G2-AA3B-01A-11R-A39I-07",4.27879428983546,"Tumor"
"ENSG00000170373","TCGA-G2-AA3B-01A-11R-A39I-07",5.72576255587617,"Tumor"
"ENSG00000171560","TCGA-G2-AA3B-01A-11R-A39I-07",3.68320245492119,"Tumor"
"ENSG00000171564","TCGA-G2-AA3B-01A-11R-A39I-07",4.02868853478176,"Tumor"
"ENSG00000181433","TCGA-G2-AA3B-01A-11R-A39I-07",5.09541908821179,"Tumor"
"ENSG00000184330","TCGA-G2-AA3B-01A-11R-A39I-07",4.02868853478176,"Tumor"
"ENSG00000185479","TCGA-G2-AA3B-01A-11R-A39I-07",6.65874565116077,"Tumor"
"ENSG00000186847","TCGA-G2-AA3B-01A-11R-A39I-07",9.45833913538528,"Tumor"
"ENSG00000187172","TCGA-G2-AA3B-01A-11R-A39I-07",3.68320245492119,"Tumor"
"ENSG00000203857","TCGA-G2-AA3B-01A-11R-A39I-07",6.54695559084919,"Tumor"
